PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0008929           0         0.9     .S..0..        0.98        0.21          60      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008979           0         0.9     .S..0..        0.93        0.22          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009028         7.3         0.7     .S..7*/        1.31        0.93          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009256           4         0.4     .SBT4*.        1.26        0.28          36       14.02        0.14        0.77        0.03        6485     0.02163
PGC0009283          -5         0.8     .E.....        0.83        0.05       -9999      -99.99      -99.99      -99.99      -99.99        1518    0.005064
PGC0009352        -2.5         0.5     .LX.-..        1.13        0.17         130          14         0.2        0.86        0.03        6353     0.02119
PGC0009359          -1         0.3     .LBT+..        1.67        0.06         135       11.12         0.1        0.97        0.01        1400     0.00467
PGC0009376         4.3         0.7     .S..4*/        1.16         0.7         112      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009406          10         0.7     .IXS9*.        1.07         0.1          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009414           5         0.3     .SXT5..        1.42        0.13         170       12.93        0.13        0.52        0.02        1580     0.00527
PGC0009445           6         1.2     .S..6*.        1.07        0.12         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009514          -2         1.2     .L...*.        1.02        0.13         160      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009530          10         0.6     .IBS9*.        1.08        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009549         1.8         0.6     .S..2*/        1.44        0.59          19       12.93        0.13        0.96        0.01        1504    0.005017
PGC0009617           6         1.2     .S..6*.        1.03        0.22         143      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009621           3         1.3     .S..3*.        1.07        0.61       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009642          -3         0.6     .LAT-*.        1.28      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009643           5         0.8     .SXS5..        1.08         0.2          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009684          -1         0.9     .LBT+*.        1.11        0.34          75      -99.99      -99.99      -99.99      -99.99        6162     0.02055
PGC0009711           2         0.9     .S..2..           1        0.22         153      -99.99      -99.99      -99.99      -99.99        6714      0.0224
PGC0009765           6         1.3     .SBS6*.        0.91        0.16          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009817          10         0.8     .RINGP.        0.98        0.01       -9999       14.01        0.13        0.63        0.01       12929     0.04313
PGC0009822           5         0.9     .SBS5..        1.06        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009843         5.7         0.4     .SBS6*.        1.66        0.27       -9999       11.38        0.15        0.41        0.02        1455    0.004853
PGC0009846           5         0.3     .SXT5..        1.43        0.05       -9999      -99.99      -99.99      -99.99      -99.99        1485    0.004953
PGC0009869           6         0.5     .SXS6..        1.34        0.18          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009880           6         1.4     .S..6*.           1        0.94          78      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0009894         4.5         0.9     .S..5P/        1.15        0.53         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010060           0         0.5     .S..0./        1.52        0.47          68       12.64        0.14           1        0.02        2651    0.008843
PGC0010065           5         0.8     .SAS5$.        1.35        0.48         150       12.89        0.15      -99.99      -99.99        1250     0.00417
PGC0010108           5         0.8     .SAS5*.        1.12        0.06       -9999      -99.99      -99.99      -99.99      -99.99        7518     0.02508
PGC0010117          10         0.6     .IBS9..        1.19        0.09          55        16.2         0.2        0.46        0.13       -9999      -99.99
PGC0010122           6         0.3     .SXT6..        1.67        0.11       -9999       11.56        0.11        0.54        0.03        1407    0.004693
PGC0010132        -0.5         0.9     .L..+*/         1.1        0.33       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010137         3.4         0.8     .SB.3P/        0.82        0.28       -9999        15.5         0.2        0.97        0.06       -9999      -99.99
PGC0010140          -1         1.8     .L..+?/        0.99        0.62       -9999       15.49        0.11        0.97        0.06       -9999      -99.99
PGC0010175          -5         0.3     .E.4...        1.48        0.16         120       11.41        0.13        0.94        0.01        1474    0.004917
PGC0010208           3         0.4     .SB.3*/        1.88        0.45         105        11.4         0.1        0.81        0.02         958    0.003196
PGC0010213           9         0.9     .SBS9..        1.12      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010249           5         0.6     .SBS5*.        1.03        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010285           5         0.5     .SXS5..        1.14         0.2       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010290           1         0.6     .SBT1..        1.05        0.34       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010315         2.7         0.5     .SBT3*.        1.17        0.45          11      -99.99      -99.99      -99.99      -99.99        8021     0.02676
PGC0010381          10         1.2     .I..9*.        1.11        0.51          15      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010464           5         0.3     .SAS5..        1.51        0.25          35       11.31         0.1        0.58        0.02        1414    0.004717
PGC0010496           5         0.3     .SXT5..        1.57        0.22           5       11.46        0.12        0.52        0.02        1508     0.00503
PGC0010507           4         0.3     .SBT4..         1.6        0.36         102       12.51        0.12        0.68        0.03        2703    0.009016
PGC0010559           2         0.4     .SXS2..        1.11        0.12          85      -99.99      -99.99      -99.99      -99.99        6344     0.02116
PGC0010574           3         0.7     .SBT3*.        1.12        0.31          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010634         0.3         0.5     PSBT0..        1.08        0.15          70      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010647         2.3         0.5     RSBR2*.        1.05        0.28          60      -99.99      -99.99      -99.99      -99.99        6486     0.02163
PGC0010649          -5         1.3     CE...*.        0.27      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        7340     0.02448
PGC0010651           1         0.9     .SA.1..        0.96        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010673         8.7         0.7     .SBS9*/        1.46        0.73       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010697         2.5         0.6     PSBR3..         1.1        0.02         120      -99.99      -99.99      -99.99      -99.99        7158     0.02388
PGC0010726         3.3           1     .SBT3P?        0.99        0.15          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010747           6         1.3     .S..6*.         1.1        0.57          47      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010766           5         0.6     .S..5./        1.34        0.83       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010794           3         1.8     .S..3P?        1.12        0.37       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010843           1         1.2     .S..1*.           1        0.14       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010854           9         0.6     .SBT9*.        1.54        0.06         160        14.2         0.2        0.58        0.06       -9999      -99.99
PGC0010857           4         0.9     .S..4..        1.03        0.31         107      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0010875         0.5         1.3     .S..1?/        1.14        0.75       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
