PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0008014           5         0.8     .SXT5..        1.01        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008029          -2         0.8     .L.....        1.04        0.14           0      -99.99      -99.99      -99.99      -99.99       12702     0.04237
PGC0008060           8         1.1     .SA.8*.        1.09        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008165           3         0.8     .S..3..        1.13        0.25          72      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008182           5           1     .SBS5P?        1.07        0.25          70      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008201          -3         1.3     .LB.-?.        1.15        0.21          60      -99.99      -99.99      -99.99      -99.99        3888     0.01297
PGC0008225           1         0.6     PS..1*P        1.17        0.32          75       13.69        0.15        0.99        0.02        3934     0.01312
PGC0008228           2         0.4     .SXR2*P         1.1        0.08       -9999       12.91        0.15        0.81        0.02        4118     0.01374
PGC0008232           4         1.2     .SB.4?.        1.36        0.56       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008250          -2         0.9     .LAT0P*        1.06        0.12       -9999       13.57        0.04        0.62        0.01        3841     0.01281
PGC0008258          -2         0.6     .LXR.?.        1.09        0.14         145       13.61        0.16        0.95        0.01        3703     0.01235
PGC0008295           5         1.2     .SB.5P?        1.39        0.41       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008302          10         1.2     .I..9*.        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008397           9         1.5     .S..9P?        1.19        0.07          60      -99.99      -99.99      -99.99      -99.99        1479    0.004933
PGC0008399          -2         1.2     .L...*.           1        0.09           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008406           9         1.2     .S..9*.        1.06         0.1         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008412           9         1.1     .S..9*.        1.18        0.01       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008439           1         0.7     PSBR1*.        1.06        0.07         105      -99.99      -99.99      -99.99      -99.99       12185     0.04064
PGC0008464           7         1.7     .SA.7?.           1        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008502           1         0.8     PSBT1..        1.23        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008522           1         0.9     .SBR1..        0.87        0.01       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008526         0.3         0.7     PSAT0*.        1.11        0.15          20      -99.99      -99.99      -99.99      -99.99        5995        0.02
PGC0008586         1.3         0.7     .SAS1*.        1.03        0.03       -9999      -99.99      -99.99      -99.99      -99.99        8061     0.02689
PGC0008659          -3         1.3     .L..-*.        1.11         0.1          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0008718        -0.7         0.7     .L..+*.        1.06        0.02         105      -99.99      -99.99      -99.99      -99.99        6429     0.02144
PGC0008876         2.5         0.6     PSXS3P.        1.06        0.09          10      -99.99      -99.99      -99.99      -99.99        7451     0.02485
