PGC_name         cz      redshift   nedname 
PGC022585        4976      0.0166   UGC_04190
PGC022596        4702     0.01568    NGC_2512
PGC022609        9685     0.03231   UGC_04188
PGC022618        4598     0.01534   UGC_04192
PGC022644        9749     0.03252    NGC_2505
PGC022677        4971     0.01658   UGC_04208
PGC022678        8725      0.0291   UGC_04201
PGC022681        9360     0.03122   UGC_04207
PGC022693        5017     0.01673   UGC_04210
PGC022698        6884     0.02296   UGC_04205
PGC022707       -9999      -99.99 CGCG_236-026
PGC022710        2979    0.009937   UGC_04204
PGC022724        5155      0.0172     IC_0492
PGC022749        4705     0.01569    NGC_2522
PGC022752        6790     0.02265   UGC_04213
PGC022755        4607     0.01537     IC_0494
PGC022762        9822     0.03276   UGC_04214
PGC022766       12433     0.04147   UGC_04219
PGC022767        4481     0.01495   UGC_04228
PGC022772        6754     0.02253   UGC_04225
PGC022800        5266     0.01757    NGC_2518
PGC022802        7907     0.02638   UGC_04226
PGC022803        5154     0.01719   UGC_04232
PGC022805        3928      0.0131    NGC_2528
PGC022827        5028     0.01677    NGC_2530
PGC022830        4207     0.01403   UGC_04236
PGC022838        3970     0.01324    NGC_2524
PGC022860        5217      0.0174   UGC_04245
PGC022866        5520     0.01841    NGC_2521
PGC022867        5432     0.01812   UGC_04248
PGC022873        2838    0.009467   UGC_04247
PGC022881        5209     0.01738   UGC_04251
PGC022883        5410     0.01805   UGC_04253
PGC022890        1235     0.00412   UGC_04241
PGC022896        6898     0.02301   UGC_04246
PGC022915        9487     0.03164   UGC_04250
PGC022921        4162     0.01388   UGC_04257
PGC022922        5252     0.01752    NGC_2532
PGC022941        3136     0.01046   UGC_04258
PGC022950       -9999      -99.99 CGCG_031-066
PGC022955        2254    0.007519   UGC_04260
PGC022957        4097     0.01367    NGC_2535
PGC022958        4118     0.01374    NGC_2536
PGC022962        3999     0.01334    NGC_2538
PGC023017        6301     0.02102    NGC_2540
PGC023024        3447      0.0115    NGC_2534
PGC023028        2471    0.008242    NGC_2543
PGC023040         431    0.001438    NGC_2537
PGC023047        8014     0.02673   UGC_04270
PGC023057       11985     0.03998   NGC_2537A
PGC023064       17099     0.05704   UGC_04285
PGC023069        5459     0.01821   UGC_04277
PGC023071         540    0.001801     IC_2233
PGC023086        3385     0.01129    NGC_2545
PGC023093        8293     0.02766   UGC_04283
PGC023103        3513     0.01172   UGC_04280
PGC023110         548    0.001828    NGC_2541
PGC023111       11379     0.03796   UGC_04281
PGC023117       -9999      -99.99   UGC_04291
PGC023147        9008     0.03005   UGC_04296
PGC023152        4175     0.01393   UGC_04298
PGC023160        8151     0.02719   UGC_04289
PGC023169        4282     0.01428     IC_2247
PGC023170        7668     0.02558   UGC_04300
PGC023173        5968     0.01991   UGC_04301
PGC023193        4143     0.01382   UGC_04304
PGC023225        4355     0.01453   UGC_04310
PGC023232        3566     0.01189   UGC_04308
PGC023245        4220     0.01408   UGC_04316
PGC023256        4158     0.01387    NGC_2554
PGC023259        4413     0.01472    NGC_2555
PGC023266        2083    0.006948     IC_2267
PGC023271       12515     0.04175   UGC_04311
PGC023279       -9999      -99.99 [RC3]_0815.6+0228
PGC023289        4814     0.01606   UGC_04324
PGC023313        1039    0.003466    NGC_2549
PGC023319        4099     0.01367   UGC_04329
PGC023329        4865     0.01623    NGC_2557
PGC023337        4998     0.01667    NGC_2558
PGC023340         524    0.001748    NGC_2552
PGC023362        3582     0.01195    NGC_2565
PGC023367        4894     0.01633    NGC_2560
PGC023383        5907      0.0197   UGC_04341
PGC023385        4676      0.0156   UGC_04340
PGC023391        5041     0.01682   UGC_04344
PGC023395        4999     0.01668    NGC_2562
PGC023404        4480     0.01494    NGC_2563
PGC023407        7645      0.0255   UGC_04342
PGC023409        5871     0.01958   UGC_04346
PGC023412        9313     0.03107   UGC_04335
PGC023422       10017     0.03341   UGC_04338
PGC023441        7983     0.02663    NGC_2572
PGC023443        6566      0.0219    NGC_2570
PGC023447        2684    0.008953     IC_2327
PGC023465        3741     0.01248   UGC_04361
PGC023474        4131     0.01378     IC_0503
PGC023480        8336     0.02781   UGC_04364
PGC023483        2087    0.006962     IC_2329
PGC023485        4496       0.015   UGC_04370
PGC023495        4162     0.01388     IC_0504
PGC023498        2057    0.006861    NGC_2577
PGC023499        8555     0.02854   UGC_04357
PGC023501        3870     0.01291    NGC_2575
PGC023504        3983     0.01329   UGC_04374
PGC023512        8346     0.02784    NGC_2576
PGC023513        5934     0.01979   UGC_04373
PGC023519        4618      0.0154   UGC_04381
PGC023522        2061    0.006875   UGC_04375
PGC023542        5420     0.01808     IC_2339
PGC023546        5400     0.01801     IC_2338
PGC023552        5143     0.01716     IC_2341
PGC023567        4640     0.01548   UGC_04386
PGC023598        7485     0.02497   UGC_04380
PGC023609       11995     0.04001   UGC_04387
PGC023616        4996     0.01667    NGC_2590
PGC023630        4439     0.01481    NGC_2582
PGC023643        2192    0.007312   UGC_04395
PGC023650        7565     0.02524     IC_2363
PGC023661        4392     0.01465   UGC_04400
PGC023662        4480     0.01494   UGC_04399
PGC023673        6031     0.02012     IC_2365
PGC023684        8496     0.02834   UGC_04404
PGC023685        5665      0.0189   UGC_04405
PGC023688        5898     0.01967   UGC_04406
PGC023691        3090     0.01031   UGC_04401
PGC023695        7523     0.02509     IC_2373
PGC023700        7561     0.02522   UGC_04414
PGC023701        2046    0.006825    NGC_2592
PGC023705        5533     0.01846   UGC_04416
PGC023711        9412     0.03139   UGC_04421
PGC023717        2238    0.007464   UGC_04418
PGC023725        4330     0.01444    NGC_2595
PGC023741        3607     0.01203   UGC_04415
PGC023769         397    0.001324   UGC_04426
PGC023788        7354     0.02453   UGC_04429
PGC023812        7758     0.02588   UGC_04427
PGC023816        4129     0.01377   UGC_04439
PGC023834        1747    0.005828    UGCA_140
PGC023843        7214     0.02406   UGC_04436
PGC023845        5237     0.01747   UGC_04437
PGC023855        4609     0.01537    NGC_2598
PGC023860        8989     0.02999   UGC_04441
PGC023878        6011     0.02005   UGC_04446
PGC023880        5086     0.01697   UGC_04442
PGC023885        4662     0.01555   UGC_04447
PGC023910        5885     0.01963   UGC_04450
PGC023913        6330     0.02112   UGC_04445
PGC023917        4692     0.01565   UGC_04453
PGC023918        9266     0.03091   UGC_04455
PGC023936        5470     0.01825     IC_0509
PGC023941        4741     0.01581    NGC_2599
PGC023973        9617     0.03208   UGC_04467
PGC023978        5260     0.01755   UGC_04464
PGC023993        6877     0.02294   UGC_04465
PGC023996        4993     0.01666   UGC_04461
PGC023998        2078     0.00693    NGC_2604
PGC024002        7563     0.02523   UGC_04468
PGC024082       13479     0.04496    NGC_2600
PGC024104        2027    0.006761   UGC_04482
PGC024108       11327     0.03778   UGC_04478
PGC024111        2135    0.007122    NGC_2608
PGC024152        4102     0.01368   UGC_04491
PGC024156        4031     0.01345    NGC_2618
PGC024166        3920     0.01308   UGC_04494
PGC024230        7148     0.02384   UGC_04498
PGC024235        3474     0.01159    NGC_2619
PGC024242         691    0.002305   UGC_04499
PGC024244        4717     0.01573   UGC_04504
PGC024299        7679     0.02561     IC_2387
PGC024309       10521     0.03509   UGC_04507
PGC024348        7912     0.02639   UGC_04512
PGC024351         691    0.002305   UGC_04514
PGC024372        4974     0.01659   UGC_04515
PGC024374        1939    0.006468   UGC_04524
PGC024399       12026     0.04011   UGC_04521
PGC024423        5092     0.01699   UGC_04525
PGC024428       11112     0.03706   UGC_04529
PGC024438        7728     0.02578   UGC_04531
PGC024442       -9999      -99.99   UGC_04530
PGC024453        3819     0.01274    NGC_2638
PGC024470        2914     0.00972   UGC_04537
PGC024475        5185      0.0173   UGC_04542
PGC024493        1960    0.006538   UGC_04543
PGC024506        3336     0.01113    NGC_2639
PGC024509        3710     0.01238   UGC_04554
PGC024517        5229     0.01744   UGC_04546
PGC024528        1749    0.005834   UGC_04551
PGC024530        2085    0.006955   UGC_04559
PGC024531        4235     0.01413    NGC_2649
